detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,origen,com_clust
5742.912243964964,9798.953166038435,348.4601711957443,180.64422018743213,78121.03019861343,noVoto_pv,8301
9446.000359280808,0.0,0.0,0.0,0.0,boric_pv,8301
0.0,29438.001154892827,0.0,0.0,0.0,kast_pv,8301
2815.0128112471666,3622.987369861125,0.0,0.0,0.0,provoste_pv,8301
290.2097536420316,36.84654023689129,20.555759784930462,0.0042671496025677,267.38367918654404,artes_pv,8301
1317.0592440601522,1936.9408303175853,0.0,0.0,0.0,meo_pv,8301
5728.119723770935,3758.7868277993607,200.9619878210181,40.64436868325187,1929.4870919254345,parisi_pv,8301
3070.1149623749134,5771.885288013983,0.0,0.0,0.0,sichel_pv,8301
1.146320181605245e-6,501.00000160959667,6.958030695221393e-7,0.0,0.0,nulos_pv,8301
75.89201769291056,265.1077829228699,0.00014155534624959055,5.797196329060857e-5,0.0,blanco_pv,8301
12370.677860090163,33771.5847755945,1305.5119463142987,453.79939315970387,264747.4260248413,noVoto_pv,16
41548.001655975124,0.0,0.0,0.0,0.0,boric_pv,16
0.0,76598.00305864486,0.0,0.0,0.0,kast_pv,16
29611.038480743464,5015.962543753253,0.0,0.0,0.0,provoste_pv,16
2670.000094049834,0.0,0.0,0.0,0.0,artes_pv,16
14895.00057681149,0.0,0.0,0.0,0.0,meo_pv,16
26368.277629207663,7367.2414728428175,837.8259390465028,271.36332233182713,186.29163657119219,parisi_pv,16
7249.130641291658,16412.87005683574,0.0,0.0,0.0,sichel_pv,16
0.0,2294.1460096552114,73.85401334152078,2.239287708372226e-6,0.0,nulos_pv,16
36.75871612536408,663.849106873947,24.75549629471254,44.9419990650851,1246.6946816408913,blanco_pv,16
9617.149897201229,23717.845617675623,761.2921188346653,425.51420077221377,160292.19816551628,noVoto_pv,2
24120.00095732817,0.0,0.0,0.0,0.0,boric_pv,2
0.0,43389.001729452975,0.0,0.0,0.0,kast_pv,2
18851.361463719408,4683.960862383276,59.676001217124266,0.0018770213651396468,0.0,provoste_pv,2
1387.0000426122047,0.0,0.0,0.0,0.0,artes_pv,2
8447.00032184542,0.0,0.0,0.0,0.0,meo_pv,2
16381.574793823956,0.0,109.02205849655525,0.0,3193.4034187316142,parisi_pv,2
1663.7767551921245,14047.223704715241,0.0,0.0,0.0,sichel_pv,2
185.35395263525677,402.34269375195333,305.1041976904861,88.7964639138471,578.4026920084566,nulos_pv,2
0.0,19.696770433045675,1.5514094762122805e-5,4.196107062830743e-5,1409.3031820194842,blanco_pv,2
8227.302031724434,11285.437540827521,495.83390105411564,316.92023170065215,98232.50629469329,noVoto_pv,10
14144.000562218922,0.0,0.0,0.0,0.0,boric_pv,10
0.0,30735.001225805874,0.0,0.0,0.0,kast_pv,10
12339.617048024596,1591.3833629305332,0.0,0.0,0.0,provoste_pv,10
828.0000251945424,0.0,0.0,0.0,0.0,artes_pv,10
4345.000158644016,0.0,0.0,0.0,0.0,meo_pv,10
4098.102046076274,3236.485103690187,142.9609279594121,0.00043276116468009924,2862.451489512963,parisi_pv,10
145.30837053872557,8491.691883523494,0.0,0.0,0.0,sichel_pv,10
0.0,926.0000191242824,0.0,0.0,0.0,nulos_pv,10
1.951222908477598e-5,894.9999951568892,0.0,0.0,0.0,blanco_pv,10
10120.117059252403,7031.871093460994,598.0996660625295,265.28711117450376,147448.62507004957,noVoto_pv,2101
28156.001110463003,0.0,0.0,0.0,0.0,boric_pv,2101
0.0,27264.001065567525,0.0,0.0,0.0,kast_pv,2101
6883.167722448483,3259.832563198613,0.0,0.0,0.0,provoste_pv,2101
1635.0000451435067,0.0,0.0,0.0,0.0,artes_pv,2101
7483.649679814991,1386.3505659682016,0.0,0.0,0.0,meo_pv,2101
22883.155526704162,6409.146238076276,702.4533852884886,111.32583478548048,6129.919015145597,parisi_pv,2101
2343.8770998312307,7632.123185636168,0.0,0.0,0.0,sichel_pv,2101
958.9999652072688,1.9230599965932255e-5,7.183269897571911e-6,9.67923748875496e-6,0.0,nulos_pv,2101
152.28623271402597,7.684300758789807e-5,230.71364189304404,4.763970620215698e-5,9.102162512175875e-7,blanco_pv,2101
2114.71647238799,11812.620274972127,346.67485556650223,146.47274227113274,70849.51565480225,noVoto_pv,7
9131.000356305658,0.0,0.0,0.0,0.0,boric_pv,7
0.0,24357.0009676931,0.0,0.0,0.0,kast_pv,7
8819.433140916322,1761.3993694390235,1.1676260942308938,0.0,0.0,provoste_pv,7
721.0000131259216,0.0,0.0,0.0,0.0,artes_pv,7
3378.7114215382694,327.288628051256,0.0,0.0,0.0,meo_pv,7
5200.759027691921,1514.3522341378452,235.08622675222819,66.82801199559134,36.974499422414645,parisi_pv,7
0.0,7282.000279374595,0.0,0.0,0.0,sichel_pv,7
564.0636518735851,0.0,15.84006167960361,4.631700850224316e-6,257.0962875952957,nulos_pv,7
506.8799363083374,3.5813619329423505e-6,43.59498387684218,55.27128712331057,67.25378911014795,blanco_pv,7
16119.616919073063,38950.94372312702,1036.069935785571,357.2647603182069,289107.1046616961,noVoto_pv,19
54830.00218229877,0.0,0.0,0.0,0.0,boric_pv,19
0.0,83795.0033417438,0.0,0.0,0.0,kast_pv,19
34510.46499968176,5330.536167176551,0.0,0.0,0.0,provoste_pv,19
2928.000091878807,0.0,0.0,0.0,0.0,artes_pv,19
19072.000696625208,0.0,0.0,0.0,0.0,meo_pv,19
41305.17557128115,2343.5495116296097,1279.933187704547,337.20322834904835,305.138501035639,parisi_pv,19
1222.5810688856036,28544.41979952895,0.0,0.0,0.0,sichel_pv,19
