detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,origen,distrito
15605.11491971663,35185.59396953914,831.2655938173109,511.0334922863644,258081.99202464055,noVoto_pv,21
33044.00130858977,0.0,0.0,0.0,0.0,boric_pv,21
0.0,87538.00348936618,0.0,0.0,0.0,kast_pv,21
24110.95414896538,4256.046678155141,0.0,0.0,0.0,provoste_pv,21
2039.223359376732,15.851741787765045,74.36271659558065,0.008336454559800009,84.55384578536236,artes_pv,21
9600.323119017507,3102.154646571455,184.5221787448874,0.00015868977546286948,0.0,meo_pv,21
23247.058454423423,9905.60734403313,675.6838219345104,229.5018713055258,8342.148508303419,parisi_pv,21
0.0,21273.000834009938,0.0,0.0,0.0,sichel_pv,21
1453.909756593019,336.83426761185274,431.2018646483981,93.05403686474287,7.428198751874244e-5,nulos_pv,21
858.7322870152891,873.488749415064,15.679492197806521,25.099483283263982,0.0,blanco_pv,21
25111.27090145907,6136.031304442968,724.6740994752196,417.27116156970766,245693.75253305302,noVoto_pv,3
41490.00165186525,0.0,0.0,0.0,0.0,boric_pv,3
0.0,42252.001670714126,0.0,0.0,0.0,kast_pv,3
12927.287862453268,4624.71264849987,0.0,0.0,0.0,provoste_pv,3
2562.0000919967224,0.0,0.0,0.0,0.0,artes_pv,3
10869.42646609608,3564.5739486343505,0.0,0.0,0.0,meo_pv,3
30196.493701123214,17716.972761866295,1560.697992351129,191.72619318573282,18630.109351473624,parisi_pv,3
3408.5055866201947,11319.494843616762,0.0,0.0,0.0,sichel_pv,3
732.3605475305454,209.9712253022861,64.2547302286795,7.457484876339328,711.9560120621497,nulos_pv,3
267.16813075581655,120.22861699774562,289.60309365524347,0.00015755310183635405,1.0380925186903905e-6,blanco_pv,3
28390.924920034096,38462.16122009328,3305.2580670781085,1112.0950385546287,335725.5607542399,noVoto_pv,20
84242.00335588084,0.0,0.0,0.0,0.0,boric_pv,20
0.0,111767.00444730018,0.0,0.0,0.0,kast_pv,20
34045.710434609486,10512.290874612323,0.0,0.0,0.0,provoste_pv,20
5077.000185459348,0.0,0.0,0.0,0.0,artes_pv,20
20025.135867153665,7187.864903230595,0.0,0.0,0.0,meo_pv,20
54547.13546213893,14560.119678431427,516.7461090558511,0.0,0.0,parisi_pv,20
12257.692724449746,29456.30850240123,0.0,0.0,0.0,sichel_pv,20
1608.2440915683821,1188.1961106567303,186.55982310825448,0.0,0.0,nulos_pv,20
143.37204524363264,1160.3755958521024,6.1903423136349165,100.06201925152077,0.0,blanco_pv,20
6546.721921222323,8750.979599379096,615.6855522361667,225.085574317587,133519.52735284483,noVoto_pv,2
19976.00078789804,0.0,0.0,0.0,0.0,boric_pv,2
489.0282421207827,32783.97274106965,0.0,0.0,0.0,kast_pv,2
7277.799314791862,2162.2009360282723,0.0,0.0,0.0,provoste_pv,2
1349.0000416729001,0.0,0.0,0.0,0.0,artes_pv,2
5792.6323922749825,1081.3677916563738,0.0,0.0,0.0,meo_pv,2
9915.2602367469,8263.694900335006,429.61093812321906,87.8045150191314,11162.629409775749,parisi_pv,2
3534.428653721768,4819.571586086987,0.0,0.0,0.0,sichel_pv,2
359.12775368266375,435.8613961678141,31.010825454114364,2.719410667756839e-5,0.0,nulos_pv,2
42.61596405030848,73.62095871463677,2.0068222039723365,0.3822278526037169,419.3740271784787,blanco_pv,2
6504.028218494847,14323.730484081514,836.2630111231832,315.1990397799497,140170.7792465205,noVoto_pv,22
16218.000632690311,0.0,0.0,0.0,0.0,boric_pv,22
0.0,59117.00234589087,0.0,0.0,0.0,kast_pv,22
10837.737887935418,4931.262552654515,0.0,0.0,0.0,provoste_pv,22
1152.0000314810675,0.0,0.0,0.0,0.0,artes_pv,22
5431.107102085212,651.8930613667594,0.0,0.0,0.0,meo_pv,22
8597.137417940487,4474.862943443287,0.0,0.0,0.0,parisi_pv,22
0.0,10271.000381883676,0.0,0.0,0.0,sichel_pv,22
391.31320348109483,801.9772036501162,144.70956274099083,3.6736882682075816e-5,0.0,nulos_pv,22
384.1736738831539,492.7343382899592,39.87677339766392,75.21521487974277,0.0,blanco_pv,22
15077.87306740791,27269.400437017342,2753.495923993334,788.732896667029,279395.4976749144,noVoto_pv,23
49076.00195118773,0.0,0.0,0.0,0.0,boric_pv,23
0.0,106874.00425028961,0.0,0.0,0.0,kast_pv,23
22192.038686705768,10768.96228191895,0.0,0.0,0.0,provoste_pv,23
2927.0001002049244,0.0,0.0,0.0,0.0,artes_pv,23
13439.026962460015,2287.9734906784574,0.0,0.0,0.0,meo_pv,23
25233.51863475869,8562.48235979209,0.0,0.0,0.0,parisi_pv,23
5758.734242937476,24920.266656719632,0.0,0.0,0.0,sichel_pv,23
419.8467299239854,407.58428785206763,34.11352230369733,58.398861692817064,1648.0565982274327,nulos_pv,23
0.0011856576478090795,1550.9988356597064,0.0,0.0,0.0,blanco_pv,23
9303.900564866615,13077.862890791079,1069.8642726475803,484.3694908018591,143918.0027808929,noVoto_pv,25
28210.001108968492,0.0,0.0,0.0,0.0,boric_pv,25
0.0,52767.00208956946,0.0,0.0,0.0,kast_pv,25
17633.934010580295,6427.327968489159,245.31456961919693,22.423623401934982,0.0,provoste_pv,25
1570.0000383790739,0.0,0.0,0.0,0.0,artes_pv,25
6412.072658061904,846.9275073876535,0.0,0.0,0.0,meo_pv,25
15653.080420763043,4472.920142957308,0.0,0.0,0.0,parisi_pv,25
4553.006181329422,12688.994256195763,0.0,0.0,0.0,sichel_pv,25
879.9969347081421,306.157115018495,38.84590012668411,5.039151055089578e-5,0.0,nulos_pv,25
